id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
168557,25326,Toontown Online,"Toontown Online's story centers on an ongoing battle between a population of cartoon animals known as the Toons and a collection of business-minded robots known as the Cogs who are trying to take over the town. Players would choose and customize their own toon and go on to complete Toontasks, play mini-games, and fight the Cogs.",2003-06-02 00:00:00.000,4,NULL,NULL,NULL,73.6945,9
137394,5234,Top Spin,NULL,2003-10-28 00:00:00.000,5,NULL,80.0000,3,72.5182,14
61381,6207,Total Club Manager 2004,NULL,2003-11-21 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
122410,185796,Totally Spies! Mall Brawl,"Timothy ""Tim"" Scam has escaped from the WOOHP prison and start his evil revenge plan: make the prices in the malls on all the world became out of control to make everyone buy things on his online store. And put evil robots in the malls to destroy everyone that tries to stop his plan. The mission of the Spies is to defeat the robots and Tim Scam and restore the prices.

To succeed in this mission, you need to go to each affected mall and try to find its corresponding antivirus keycard. Once you have the card, you can proceed and clean up all the infected cash registers. This would not be a piece of cake job, because you should encounter serious resistance from a bunch of enemy robots along your way.",2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15869,144813,Totò Sapore E La Magica Storia Della Pizza,NULL,2003-12-19 00:00:00.000,4,NULL,NULL,NULL,NULL,NULL
63291,73111,Tough Trucks: Modified Monsters,NULL,2003-07-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
140288,27166,Touhou Youyoumu: Perfect Cherry Blossom,"PROLOGUE
In Gensokyo, people relax and bask in the calm of a winter without end. Spring has shown no sign of arriving even though it's already May, and in fact the snowstorms are continually getting worse. Reimu Hakurei, a shrine maiden of the Hakurei Shrine, is tired of being cold day in and day out and wants to find the source of this unnatural weather. Marisa Kirisame, a black-clothed magician, sees a cherry blossom petal float down outside her warm house and wonders if spring is happening somewhere else. Sakuya Izayoi, the maid leader of the Scarlet Devil Mansion, knows that their winter supplies are diminishing quickly, and wants to end this prolonged winter before they run out completely. Depending on who you choose, only one of these three heroines actually goes out and investigates.

MAIN STORY
The heroine starts off her journey by heading off into the snow-covered forests in search of clues. She battles the ice fairy Cirno and the winter spirit Letty Whiterock in the forest, and the nekomata Chen in the village of Mayohiga, without any progress in her search. Finally, after defeating Alice Margatroid and her dolls, the heroine finds a lead when she notices several cherry blossoms blowing around in the sky. The heroine follows the trail of cherry blossoms high above Gensokyo, breaking through the greetings of Lily White, eventually reaching a great magical boundary and the poltergeist musicians Prismriver Sisters. After silencing the Prismriver Sisters, the heroine crosses the boundary into the Netherworld.

After fighting off several ghosts, the heroine is confronted by human-ghost gardener Youmu Konpaku. Youmu explains that she had been stealing the essence of ""spring"" throughout Gensokyo in order to make the Saigyou Ayakashi, a youkai cherry tree, bloom perfectly with the rest of Hakugyokurou's gardens, as per her master's orders. The heroine defeats Youmu and hurries to Hakugyokurou to get Gensokyo's spring back. Now at the end of a long journey, the heroine comes face to face with Yuyuko Saigyouji, the ghost princess of Hakugyokurou. Yuyuko reveals that she wanted to revive a certain soul that has been sealed within the Saigyou Ayakashi from before her existence. In order to break the seal, the youkai cherry blossom tree needed to bloom fully and completely. Yuyuko and the heroine wage a fierce battle, to get the last ""spring"" contained in the heroine needed for the Perfect Cherry Blossom, and to reclaim Gensokyo's spring, respectively. After the heroine defeats Yuyuko, the Saigyou Ayakashi starts to lose its health. However the seal has been weakened from the near-complete bloom, and the sealed soul is temporarily unleashed. The soul is actually Yuyuko's. The heroine dodges attack after attack until Yuyuko's soul is finally sealed once more.",2003-08-17 00:00:00.000,3,NULL,NULL,NULL,80.3040,17
75701,18728,TrackMania,NULL,2003-11-21 00:00:00.000,12,NULL,81.0000,3,83.9123,27
74939,27012,TrackMania Original,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
149645,92251,Train Simulator + Densha de GO!: Tokyo Line,NULL,2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
